"","X","UniqueID","Site","Year","Latitude_Degrees","Longitude_Degrees","A","AN","ASC","CCA","DC","DCA","HC","HYD","INV","MA","MI","MIL","OT","PEY","RB","RCK","S","SC","SG","SI","SP","TA","UN","W","ZO","percent_total","avg_ssta","sum_ssta"
"11",11,"2012-KAL-Crest-2","KAL",2012,-5.472778,123.729722,0.497512437810945,0,0.497512437810945,0,0,0.497512437810945,3.48258706467662,0,0,0,0,0,0,0,11.9402985074627,44.7761194029851,5.4726368159204,29.3532338308458,0,0,3.48258706467662,0,0,0,0,100,0.319622641509434,16.94
"12",12,"2012-KAL-Crest-3","KAL",2012,-5.472778,123.729722,0.497512437810945,0,0.995024875621891,0,0,0,14.4278606965174,0,0,0,0,0,0,0,1.49253731343284,43.7810945273632,2.48756218905473,34.3283582089552,0,0,1.99004975124378,0,0,0,0,100,0.319622641509434,16.94
"13",13,"2012-KAL-Flat-1","KAL",2012,-5.472778,123.729722,0,0,0,0,0,3.98009950248756,3.98009950248756,0,0,0,0.497512437810945,0,0,0,3.98009950248756,57.7114427860697,14.4278606965174,12.9353233830846,0,0,2.48756218905473,0,0,0,0,100,0.319622641509434,16.94
"14",14,"2012-KAL-Flat-2","KAL",2012,-5.472778,123.729722,0,0,0.497512437810945,0,0,1.49253731343284,0.995024875621891,0,0,0,0,0,0,0,5.97014925373134,38.8059701492537,16.4179104477612,28.3582089552239,0,0,7.46268656716418,0,0,0,0,100,0.319622641509434,16.94
"15",15,"2012-KAL-Flat-3","KAL",2012,-5.472778,123.729722,0.497512437810945,0,0.497512437810945,0,0,0,2.48756218905473,0,0,0,0,0,0,0,4.47761194029851,61.6915422885572,11.4427860696517,18.9054726368159,0,0,0,0,0,0,0,100,0.319622641509434,16.94
"16",16,"2012-KAL-Slope-1","KAL",2012,-5.472778,123.729722,2.48756218905473,0,0.497512437810945,2.48756218905473,0,0,4.47761194029851,0,0,0,0,0,0,0,0.995024875621891,35.3233830845771,2.98507462686567,49.2537313432836,0,0,1.49253731343284,0,0,0,0,100,0.319622641509434,16.94
"17",17,"2012-KAL-Slope-2","KAL",2012,-5.472778,123.729722,1.99004975124378,0,0,1.99004975124378,0.497512437810945,1.99004975124378,5.4726368159204,0,0,0,0,0,0,0,3.98009950248756,34.8258706467662,17.910447761194,30.8457711442786,0,0,0,0,0,0,0.497512437810945,100,0.319622641509434,16.94
"18",18,"2012-KAL-Slope-3","KAL",2012,-5.472778,123.729722,2.48756218905473,0,0.497512437810945,7.46268656716418,0,0,18.407960199005,0,0,0,1.99004975124378,0,0,0,0,34.8258706467662,1.49253731343284,19.4029850746269,0,0,5.97014925373134,0,0,7.46268656716418,0,100,0.319622641509434,16.94
"19",19,"2012-KDS-Crest-1","KDS",2012,-5.461944,123.711389,0,0,0.497512437810945,0,1.49253731343284,1.99004975124378,3.98009950248756,0,0,0,0,0,0,0,58.2089552238806,11.4427860696517,3.48258706467662,18.9054726368159,0,0,0,0,0,0,0,100,0.319622641509434,16.94
"20",20,"2012-KDS-Crest-2","KDS",2012,-5.461944,123.711389,0.995024875621891,0,0.995024875621891,0.995024875621891,0.497512437810945,0.497512437810945,12.4378109452736,0,0,0,0,0,0,0,46.7661691542289,20.3980099502488,0.995024875621891,14.9253731343284,0,0,0.497512437810945,0,0,0,0,100,0.319622641509434,16.94
"21",21,"2012-KDS-Crest-3","KDS",2012,-5.461944,123.711389,0,0,0,0,0.497512437810945,26.3681592039801,1.99004975124378,0,0,0,0,0,0,0,5.4726368159204,22.8855721393035,34.3283582089552,8.45771144278607,0,0,0,0,0,0,0,100,0.319622641509434,16.94
"22",22,"2012-KDS-Flat-1","KDS",2012,-5.461944,123.711389,0,0,0,0,0.995024875621891,0.497512437810945,20.3980099502488,0,0,0,0,0,0,0,59.7014925373134,4.97512437810945,0.497512437810945,12.9353233830846,0,0,0,0,0,0,0,100,0.319622641509434,16.94
"23",23,"2012-KDS-Flat-2","KDS",2012,-5.461944,123.711389,0,0,0.497512437810945,0,0.497512437810945,0.497512437810945,8.45771144278607,0,0,0,0,0,0,0,47.7611940298507,20.3980099502488,14.4278606965174,7.46268656716418,0,0,0,0,0,0,0,100,0.319622641509434,16.94
"24",24,"2012-KDS-Flat-3","KDS",2012,-5.461944,123.711389,2.48756218905473,0,2.48756218905473,0,0,0,14.4278606965174,0,0,0,0.497512437810945,0,0,0,0,38.8059701492537,31.3432835820896,8.45771144278607,0,0,1.49253731343284,0,0,0,0,100,0.319622641509434,16.94
"25",25,"2012-KDS-Slope-1","KDS",2012,-5.461944,123.711389,0.497512437810945,0,0,0,0.497512437810945,3.48258706467662,8.95522388059701,0,0,0,0,0,0,0,20.8955223880597,0.995024875621891,55.2238805970149,6.46766169154229,0,0,2.98507462686567,0,0,0,0,100,0.319622641509434,16.94
"26",26,"2012-KDS-Slope-2","KDS",2012,-5.461944,123.711389,0,0,0,0,5.97014925373134,7.46268656716418,12.4378109452736,0,0,0,0,0,0,0,4.97512437810945,46.2686567164179,0,12.4378109452736,0,0,2.48756218905473,0,0,7.96019900497512,0,100,0.319622641509434,16.94
"27",27,"2012-KDS-Slope-3","KDS",2012,-5.461944,123.711389,0.995024875621891,0,0.995024875621891,0,2.48756218905473,0.995024875621891,2.98507462686567,0,0,0,0,0,0,0,35.3233830845771,17.910447761194,16.4179104477612,17.910447761194,0,0,3.98009950248756,0,0,0,0,100,0.319622641509434,16.94
"28",28,"2012-PK-Crest-2","PK",2012,-5.465833,123.755,0.497512437810945,0,0.995024875621891,0,0,0,16.4179104477612,0,0,0,2.98507462686567,0,0,0,0,37.3134328358209,0.995024875621891,40.2985074626866,0,0,0,0,0,0.497512437810945,0,100,0.332830188679245,17.64
"29",29,"2012-PK-Flat-1","PK",2012,-5.465833,123.755,1.49253731343284,0,0,0,0,1.99004975124378,7.96019900497512,0,0,0,0,0,0,0,10.9452736318408,37.3134328358209,12.4378109452736,26.865671641791,0,0,0.995024875621891,0,0,0,0,100,0.332830188679245,17.64
"30",30,"2012-PK-Flat-2","PK",2012,-5.465833,123.755,0.497512437810945,0,0.497512437810945,0.995024875621891,0.497512437810945,0.497512437810945,16.4179104477612,0,0,0,0,0,0,0,25.8706467661692,12.9353233830846,8.45771144278607,24.8756218905473,0,0.497512437810945,7.96019900497512,0,0,0,0,100,0.332830188679245,17.64
"31",31,"2012-PK-Flat-3","PK",2012,-5.465833,123.755,0,0,0,0,0,2.98507462686567,9.95024875621891,0,0,0,1.49253731343284,0,0,0,22.3880597014925,19.4029850746269,26.3681592039801,17.4129353233831,0,0,0,0,0,0,0,100,0.332830188679245,17.64
"32",32,"2012-PK-Slope-1","PK",2012,-5.465833,123.755,1.99004975124378,0,9.45273631840796,10.4477611940298,0,2.98507462686567,13.4328358208955,0,0,0,0,0,0,0,7.46268656716418,20.8955223880597,1.99004975124378,21.3930348258706,0,0,9.95024875621891,0,0,0,0,100,0.332830188679245,17.64
"33",33,"2012-PK-Slope-2","PK",2012,-5.465833,123.755,0,0,1.99004975124378,0,0.497512437810945,0,19.9004975124378,0,0,0,0,0,0,0,8.95522388059701,38.8059701492537,8.95522388059701,14.9253731343284,0,0,5.97014925373134,0,0,0,0,100,0.332830188679245,17.64
"34",34,"2012-PK-Slope-3","PK",2012,-5.465833,123.755,0,0,4.47761194029851,5.4726368159204,0,1.99004975124378,9.95024875621891,0,0,0,0,0,0,0,12.4378109452736,27.8606965174129,6.46766169154229,18.9054726368159,0,4.97512437810945,6.96517412935323,0,0,0.497512437810945,0,100,0.332830188679245,17.64
"35",35,"2012-R1-Crest-1","R1",2012,-5.449167,123.753889,0,0,0,2.98507462686567,0.995024875621891,2.98507462686567,12.9353233830846,0,0,0,0,0,0,0,31.3432835820896,31.3432835820896,1.99004975124378,11.9402985074627,0,0,3.48258706467662,0,0,0,0,100,0.339433962264151,17.99
"36",36,"2012-R1-Crest-2","R1",2012,-5.449167,123.753889,0,0,1.49253731343284,0,7.96019900497512,5.97014925373134,22.3880597014925,0,0,0,0.497512437810945,0,0,0,35.3233830845771,19.4029850746269,1.49253731343284,4.97512437810945,0,0,0.497512437810945,0,0,0,0,100,0.339433962264151,17.99
"37",37,"2012-R1-Crest-3","R1",2012,-5.449167,123.753889,0,0,6.96517412935323,6.96517412935323,0,0,15.4228855721393,0,0,0,0.497512437810945,0,0,0,31.8407960199005,22.3880597014925,2.48756218905473,8.45771144278607,0,0,4.97512437810945,0,0,0,0,100,0.339433962264151,17.99
"38",38,"2012-R1-Slope-1","R1",2012,-5.449167,123.753889,0.497512437810945,0,0,0.497512437810945,0.995024875621891,5.4726368159204,16.4179104477612,0,0,0,0,0,0,0,15.9203980099502,28.3582089552239,21.3930348258706,1.99004975124378,0,0,7.96019900497512,0,0,0.497512437810945,0,100,0.339433962264151,17.99
"39",39,"2012-R1-Slope-2","R1",2012,-5.449167,123.753889,0.995024875621891,0,3.48258706467662,5.4726368159204,1.49253731343284,9.95024875621891,32.3383084577114,0,0,0,0,0,0,0,6.96517412935323,15.9203980099502,1.99004975124378,5.97014925373134,0,2.48756218905473,12.9353233830846,0,0,0,0,100,0.339433962264151,17.99
"40",40,"2012-R1-Slope-3","R1",2012,-5.449167,123.753889,2.48756218905473,0,2.98507462686567,3.48258706467662,0,0,35.3233830845771,0,0,0,0,0,0,0,11.4427860696517,20.8955223880597,0,6.96517412935323,0,0,16.4179104477612,0,0,0,0,100,0.339433962264151,17.99
"41",41,"2012-SAM-Crest-2","SAM",2012,-5.482917,123.749167,0,0,0,0,0.497512437810945,0.497512437810945,2.98507462686567,0,0,0,0,0,0,0,21.8905472636816,44.2786069651741,14.9253731343284,6.46766169154229,0,0,7.96019900497512,0,0,0.497512437810945,0,100,0.319622641509434,16.94
"42",42,"2012-SAM-Crest-3","SAM",2012,-5.482917,123.749167,0,0,0,0,0,0,5.4726368159204,0,0,0,1.49253731343284,0,0,0,23.3830845771144,53.2338308457711,4.97512437810945,4.47761194029851,0,4.97512437810945,1.99004975124378,0,0,0,0,100,0.319622641509434,16.94
"43",43,"2012-SAM-Flat-1","SAM",2012,-5.482917,123.749167,0.995024875621891,0,0,0,0,18.407960199005,7.46268656716418,0,0,0,0,0,0,0,31.8407960199005,0,33.3333333333333,1.99004975124378,0,0,5.97014925373134,0,0,0,0,100,0.319622641509434,16.94
"44",44,"2012-SAM-Flat-2","SAM",2012,-5.482917,123.749167,0,0,0,0,0,0,0.995024875621891,0,0,0,0,0,0,0,52.7363184079602,26.865671641791,11.9402985074627,6.46766169154229,0,0,0.995024875621891,0,0,0,0,100,0.319622641509434,16.94
"45",45,"2012-SAM-Flat-3","SAM",2012,-5.482917,123.749167,0,0,0,0,0,0,7.46268656716418,0,0,0,0,0,0,0,2.48756218905473,52.7363184079602,25.8706467661692,11.4427860696517,0,0,0,0,0,0,0,100,0.319622641509434,16.94
"46",46,"2012-SAM-Slope-1","SAM",2012,-5.482917,123.749167,2.98507462686567,0,0,0,0.497512437810945,30.8457711442786,20.8955223880597,0,0,0,0,0,0,0,14.4278606965174,4.47761194029851,0,3.98009950248756,0,19.9004975124378,1.49253731343284,0,0,0.497512437810945,0,100,0.319622641509434,16.94
"47",47,"2012-SAM-Slope-2","SAM",2012,-5.482917,123.749167,0,0,0,0,5.4726368159204,0,13.9303482587065,0,0,0,0,0,0,0,22.8855721393035,19.4029850746269,20.3980099502488,16.9154228855721,0,0,0.995024875621891,0,0,0,0,100,0.319622641509434,16.94
"48",48,"2012-SAM-Slope-3","SAM",2012,-5.482917,123.749167,0,0,0,0.995024875621891,0.497512437810945,0,6.46766169154229,0,0,0,0,0,0,0,27.8606965174129,25.8706467661692,22.3880597014925,6.46766169154229,0,0.995024875621891,8.45771144278607,0,0,0,0,100,0.319622641509434,16.94
"49",49,"2012-Utila-BCW-5-2","BCW",2012,16.08305968,-86.91699554,0,0,0,11.4427860696517,0,0,35.8208955223881,0,0,28.3582089552239,0,0,0,0,0,13.4328358208955,1.99004975124378,0,0,0,4.97512437810945,0,0,0,3.98009950248756,100,0.409245283018868,21.69
"50",50,"2012-Utila-BCW-5-3","BCW",2012,16.08305968,-86.91699554,0,0,0,7.46268656716418,0,0,15.4228855721393,0,0,39.8009950248756,0,1.99004975124378,0,0,0,14.4278606965174,0.497512437810945,7.96019900497512,0,0,10.4477611940298,0,0,0,1.99004975124378,100,0.409245283018868,21.69
"51",51,"2012-Utila-CV-15-1","CV",2012,16.08823274,-86.91094506,0,0,0,0,0,0,29.8507462686567,0,0,33.8308457711443,0,0,0,0,0,5.97014925373134,27.363184079602,1.49253731343284,0,0,1.49253731343284,0,0,0,0,100,0.409245283018868,21.69
"52",52,"2012-Utila-CV-15-3","CV",2012,16.08823274,-86.91094506,0,0,0,0,0,0,14.9253731343284,0,0,6.96517412935323,0,2.98507462686567,0,0,28.8557213930348,26.865671641791,0,9.45273631840796,0,0,9.95024875621891,0,0,0,0,100,0.409245283018868,21.69
"53",53,"2012-Utila-CV-15-4","CV",2012,16.08823274,-86.91094506,0,0,0,1.99004975124378,0,0,9.45273631840796,0,0,11.4427860696517,0,0,0,0,10.9452736318408,22.3880597014925,38.3084577114428,1.49253731343284,0,0,3.98009950248756,0,0,0,0,100,0.409245283018868,21.69
"54",54,"2012-Utila-CV-5-1","CV",2012,16.08823274,-86.91094506,0,0,0,0,0,0,25.3731343283582,0,0,27.363184079602,0,4.47761194029851,0,0,2.48756218905473,16.4179104477612,8.95522388059701,5.4726368159204,0,0,9.45273631840796,0,0,0,0,100,0.409245283018868,21.69
"55",55,"2012-Utila-CV-5-2","CV",2012,16.08823274,-86.91094506,0,0,0,0,0,0,11.4427860696517,0,0,9.95024875621891,0,0,0,0,35.8208955223881,21.8905472636816,10.9452736318408,3.98009950248756,0,0,5.97014925373134,0,0,0,0,100,0.409245283018868,21.69
"56",56,"2012-Utila-CV-5-3","CV",2012,16.08823274,-86.91094506,0,0,0,0,0,0,18.407960199005,0,0,18.9054726368159,0,0.497512437810945,0,0,0.995024875621891,21.8905472636816,14.4278606965174,12.9353233830846,0,0,11.9402985074627,0,0,0,0,100,0.409245283018868,21.69
"57",57,"2012-Utila-LB-15-1","LB",2012,16.07926302,-86.92942222,0,0,0,0.497512437810945,0,0,30.3482587064677,0,0.497512437810945,13.4328358208955,0,0,0,0,2.98507462686567,24.8756218905473,14.9253731343284,7.96019900497512,0,0,4.47761194029851,0,0,0,0,100,0.409245283018868,21.69
"58",58,"2012-Utila-LB-15-2","LB",2012,16.07926302,-86.92942222,0,0,0,0,0,0,34.3283582089552,0,0,17.4129353233831,0,0,0,0,0,23.3830845771144,24.3781094527363,0,0,0,0.497512437810945,0,0,0,0,100,0.409245283018868,21.69
"59",59,"2012-Utila-LB-15-3","LB",2012,16.07926302,-86.92942222,0,0,0,0.995024875621891,0,0,34.8258706467662,0,0,25.8706467661692,0,3.98009950248756,0,0,0,7.96019900497512,7.96019900497512,11.4427860696517,0,0,6.96517412935323,0,0,0,0,100,0.409245283018868,21.69
"60",60,"2012-Utila-LB-5-1","LB",2012,16.07926302,-86.92942222,0,0,0,1.49253731343284,0,0,29.3532338308458,0,0,10.9452736318408,0,2.48756218905473,0,0,0.995024875621891,27.8606965174129,1.49253731343284,20.8955223880597,0,0,4.47761194029851,0,0,0,0,100,0.409245283018868,21.69
"61",61,"2012-Utila-LB-5-2","LB",2012,16.07926302,-86.92942222,0,0,0,3.48258706467662,0,0,31.8407960199005,0,0,40.2985074626866,0,0.497512437810945,0,0,0,9.45273631840796,6.46766169154229,4.97512437810945,0,0,2.98507462686567,0,0,0,0,100,0.409245283018868,21.69
"62",62,"2012-Utila-LB-5-3","LB",2012,16.07926302,-86.92942222,0,0,0,0,0,0,29.3532338308458,0,0.497512437810945,34.3283582089552,0,1.99004975124378,0,0,0,4.47761194029851,4.47761194029851,11.4427860696517,0,0,12.9353233830846,0,0,0,0.497512437810945,100,0.409245283018868,21.69
"63",63,"2012-Utila-LH-15-2","LH",2012,16.08498,-86.90032,0,0,0,0,0,0,33.8308457711443,0,0,14.4278606965174,0,0.995024875621891,0,0,0,15.4228855721393,14.4278606965174,10.4477611940298,0,0,10.4477611940298,0,0,0,0,100,0.408867924528302,21.67
"64",64,"2012-Utila-LH-15-3","LH",2012,16.08498,-86.90032,0,0,0,0,0,0,33.8308457711443,0,0,20.3980099502488,0,0.995024875621891,0,0,0,27.8606965174129,5.4726368159204,5.4726368159204,0,0,5.97014925373134,0,0,0,0,100,0.408867924528302,21.67
"65",65,"2012-Utila-LH-5-1","LH",2012,16.08498,-86.90032,0,0,0,0.497512437810945,0,0,25.3731343283582,0,0,18.9054726368159,0,0,0,0,0,36.318407960199,2.98507462686567,9.45273631840796,0,0,6.46766169154229,0,0,0,0,100,0.408867924528302,21.67
"66",66,"2012-Utila-LH-5-2","LH",2012,16.08498,-86.90032,0,0,0,1.99004975124378,0,0,29.8507462686567,0,0,28.3582089552239,0,0.995024875621891,0,0,0,15.4228855721393,13.9303482587065,5.97014925373134,0,0,3.48258706467662,0,0,0,0,100,0.408867924528302,21.67
"67",67,"2012-Utila-LH-5-3","LH",2012,16.08498,-86.90032,0,0,0,0,0,0,22.8855721393035,0,0,53.7313432835821,0,1.99004975124378,0,0,0,6.46766169154229,1.99004975124378,6.96517412935323,0,0,5.97014925373134,0,0,0,0,100,0.408867924528302,21.67
"68",68,"2012-Utila-SB-15-3","SB",2012,16.089602,-86.9035006,0,0.497512437810945,0,0,1.49253731343284,0,14.9253731343284,0,0.497512437810945,41.7910447761194,0,0.995024875621891,0,0,0,8.45771144278607,13.4328358208955,2.48756218905473,0,0,15.4228855721393,0,0,0,0,100,0.409245283018868,21.69
"69",69,"2012-Utila-SB-5-1","SB",2012,16.089602,-86.9035006,0,0,0,0,0,0,47.7611940298507,0,0,11.9402985074627,0,0,0,0,0,9.95024875621891,12.4378109452736,2.98507462686567,0,0,14.9253731343284,0,0,0,0,100,0.409245283018868,21.69
"70",70,"2012-Utila-SB-5-2","SB",2012,16.089602,-86.9035006,0,0,0,0,0,0,44.2786069651741,0,0,17.910447761194,0,0,0,0,0,21.8905472636816,3.98009950248756,1.99004975124378,0,0,9.95024875621891,0,0,0,0,100,0.409245283018868,21.69
"71",71,"2012-Utila-SB-5-3","SB",2012,16.089602,-86.9035006,0,0,0,0,0,0,32.3383084577114,0,0,46.2686567164179,0,0,0,0,0,8.45771144278607,3.98009950248756,2.48756218905473,0,0,6.46766169154229,0,0,0,0,100,0.409245283018868,21.69
"72",72,"2013-B3-Crest-1","B3",2013,-5.477778,123.7625,1.99004975124378,0,0,0.497512437810945,8.45771144278607,6.96517412935323,25.3731343283582,0,0,0,0,0,0,0,3.48258706467662,26.865671641791,0,4.97512437810945,0,0,0,0,1.99004975124378,19.4029850746269,0,100,0.335660377358491,17.79
"73",73,"2013-B3-Crest-2","B3",2013,-5.477778,123.7625,0.497512437810945,0,0,0,7.96019900497512,0,17.4129353233831,0,0,0,0,0,0,0,1.99004975124378,41.2935323383085,0.497512437810945,6.96517412935323,0,0,0.497512437810945,0,3.98009950248756,18.9054726368159,0,100,0.335660377358491,17.79
"74",74,"2013-B3-Crest-3","B3",2013,-5.477778,123.7625,1.99004975124378,0,0,0,0,1.49253731343284,36.81592039801,0,0,0,5.4726368159204,0,0,0,10.4477611940298,37.8109452736318,0,5.97014925373134,0,0,0,0,0,0,0,100,0.335660377358491,17.79
"75",75,"2013-B3-Flat-1","B3",2013,-5.477778,123.7625,0.497512437810945,0,0,0,4.47761194029851,5.4726368159204,22.3880597014925,0,0,0,0,0,0,0,50.2487562189055,5.4726368159204,4.47761194029851,4.47761194029851,1.99004975124378,0,0.497512437810945,0,0,0,0,100,0.335660377358491,17.79
"76",76,"2013-B3-Flat-3","B3",2013,-5.477778,123.7625,0.497512437810945,0,0,0,0.497512437810945,0,15.4228855721393,0,0,0,0,0,0,0,50.2487562189055,17.910447761194,0,7.46268656716418,0,7.96019900497512,0,0,0,0,0,100,0.335660377358491,17.79
"77",77,"2013-B3-Slope-1","B3",2013,-5.477778,123.7625,1.49253731343284,0,0.995024875621891,12.4378109452736,0,0,25.8706467661692,0,0,0,0,0,0.497512437810945,0,15.9203980099502,22.3880597014925,1.49253731343284,3.48258706467662,0,0,9.45273631840796,0,0,5.97014925373134,0,100,0.335660377358491,17.79
"78",78,"2013-B3-Slope-2","B3",2013,-5.477778,123.7625,0,0,1.49253731343284,31.8407960199005,0,0,18.9054726368159,0,0,0,0,0,0.497512437810945,0,3.48258706467662,14.4278606965174,1.49253731343284,7.46268656716418,0,1.99004975124378,11.4427860696517,0,0,6.96517412935323,0,100,0.335660377358491,17.79
"79",79,"2013-B3-Slope-3","B3",2013,-5.477778,123.7625,0,0,0,14.9253731343284,0,0,31.3432835820896,0,0,0,0,0,0,0,15.9203980099502,18.407960199005,0,5.97014925373134,0,0,5.4726368159204,0,0,7.96019900497512,0,100,0.335660377358491,17.79
"80",80,"2013-Cayos-Arena-15-2","Arena",2013,15.954194,-86.517528,0,0,0,0.497512437810945,1.49253731343284,0,19.4029850746269,0,0,56.7164179104478,0,0.497512437810945,0.497512437810945,0,0,6.46766169154229,0,11.4427860696517,0,0,2.98507462686567,0,0,0,0,100,0.609433962264151,32.3
"81",81,"2013-Cayos-Arena-15-3","Arena",2013,15.954194,-86.517528,0,0,0,0.497512437810945,0,0,8.95522388059701,0,0,75.1243781094527,0,0.995024875621891,0,0,0,1.49253731343284,0.497512437810945,9.45273631840796,0,0,2.98507462686567,0,0,0,0,100,0.609433962264151,32.3
"82",82,"2013-Cayos-Arena-5-2","Arena",2013,15.954194,-86.517528,0,0,0,0,0,0,17.4129353233831,0,0,30.8457711442786,0,3.98009950248756,3.98009950248756,0,0,7.96019900497512,1.99004975124378,30.3482587064677,0,0,3.48258706467662,0,0,0,0,100,0.609433962264151,32.3
"83",83,"2013-Cayos-ElAvion-15-1","ElAvion",2013,15.952944,-86.47375,0,0,0,0,20.8955223880597,0,6.46766169154229,0,0,48.7562189054726,0,2.48756218905473,0,0,0,4.47761194029851,13.9303482587065,2.48756218905473,0,0,0.497512437810945,0,0,0,0,100,0.531509433962264,28.17
"84",84,"2013-Cayos-ElAvion-15-3","ElAvion",2013,15.952944,-86.47375,0,0,0,0,12.9353233830846,0,20.8955223880597,0,0,49.7512437810945,1.99004975124378,1.49253731343284,0,0,0,0.995024875621891,7.46268656716418,1.99004975124378,0,0,2.48756218905473,0,0,0,0,100,0.531509433962264,28.17
"85",85,"2013-Cayos-ElAvion-5-1","ElAvion",2013,15.952944,-86.47375,0,0,0,0,23.3830845771144,0,24.8756218905473,0,0,4.97512437810945,0,17.4129353233831,0,0,0,19.4029850746269,0,9.95024875621891,0,0,0,0,0,0,0,100,0.531509433962264,28.17
"86",86,"2013-Cayos-ElAvion-5-2","ElAvion",2013,15.952944,-86.47375,0,0,0,0,12.9353233830846,0,52.2388059701493,0,0,9.95024875621891,0,12.9353233830846,0,0,0,4.47761194029851,0,7.46268656716418,0,0,0,0,0,0,0,100,0.531509433962264,28.17
"87",87,"2013-Cayos-ElAvion-5-3","ElAvion",2013,15.952944,-86.47375,0,0,0,0,0,0,55.2238805970149,0,0,17.4129353233831,0,11.4427860696517,0,0,0,8.45771144278607,0,7.46268656716418,0,0,0,0,0,0,0,100,0.531509433962264,28.17
"88",88,"2013-Cayos-Jenna2-15-2","Jenna2",2013,15.958333,-86.503889,0,0,0,6.46766169154229,0,0,20.3980099502488,0,1.99004975124378,54.228855721393,0,0,0.497512437810945,0,0,8.45771144278607,0,3.48258706467662,0,0,4.47761194029851,0,0,0,0,100,0.545094339622642,28.89
"89",89,"2013-Cayos-Jenna2-15-3","Jenna2",2013,15.958333,-86.503889,0,0,0,2.48756218905473,0.995024875621891,0,19.4029850746269,0,0,54.228855721393,0,1.49253731343284,0,0,0,12.9353233830846,3.48258706467662,2.48756218905473,0,0,2.48756218905473,0,0,0,0,100,0.545094339622642,28.89
"90",90,"2013-Cayos-Jenna2-5-2","Jenna2",2013,15.958333,-86.503889,0,0,0,0,1.99004975124378,0,21.8905472636816,0,0,47.2636815920398,0,0.995024875621891,0,0,0,2.98507462686567,1.49253731343284,14.4278606965174,0,0,8.95522388059701,0,0,0,0,100,0.545094339622642,28.89
